,client_id,pit,recent_successful_repayments,future_bad_probability,available_credit,balance,sum_failed_repayments ,max_failed_repayments,credit_score,external score,credit_inquiries_count,credit_open_balance,years_on_file,max_successful_repayments,missing_report,client_industry_unknown,tag_in_six_months
2865,6354,18/06/2017,55599.792929999996,0.243318477,29482.01547,23815.333309999998,0.0,0.0,702.0,1019.0,17.0,306588.0,between 6 and 8 years,0.0,0,0,good
2867,20779,9/6/17,13426.245019999998,0.24309756,1156.767486,29014.257489999996,0.0,0.0,669.0,969.5,5.0,273528.0,between 10 and 12 years,21.0,0,0,good
2870,30707,23/10/2017,4853.828679,0.242981163,4004.8830869999997,5887.163552,2603.397511,340.777215,626.0,905.0,8.0,11244.0,between 17 and 20 years,1.0,0,0,good
2872,15172,22/05/2017,6335.159807,0.24291989100000003,893.8109355,5054.640197,0.0,0.0,,-34.0,,,between 6 and 8 years,18.0,0,0,good
2877,1863,4/3/17,35.69348147,0.24280620100000003,19992.15716,38.80265774,0.0,0.0,668.0,968.0,12.0,151679.0,between 12 and 14 years,,0,0,good
2878,3995,26/03/2017,3944.1675,0.24280200600000001,1060.149956,4859.229338,0.0,0.0,649.0,939.5,8.0,700808.0,between 1.5 and 2 years,,0,0,good
2879,9277,8/1/17,17041.61855,0.242744999,14385.069269999998,20536.55521,0.0,0.0,628.0,908.0,7.0,237279.0,,25.0,0,0,good
2880,3963,21/03/2017,22664.0863,0.24272977699999998,19998.52382,-48.62658654,903.4739107999999,901.7801046,610.0,881.0,5.0,213492.0,,,0,0,good
2883,7304,13/06/2017,19231.28807,0.242655295,40894.37851,12200.48417,0.0,0.0,633.0,915.5,15.0,123746.0,between 8 and 10 years,0.0,0,0,good
2884,1495,27/05/2017,10775.78552,0.24257747300000002,29141.46315,807.0441749,0.0,0.0,710.0,1031.0,3.0,42101.0,between 1 and 1.5 years,25.0,0,0,good
2888,10156,7/11/17,-3.322192967,0.24209463399999998,19984.162790000002,32.16894553,0.0,0.0,697.0,1011.5,26.0,117140.0,between 14 and 17 years,0.0,0,0,good
2890,4686,20/05/2017,12856.0418,0.24206294399999997,16564.74254,10519.318000000001,0.0,0.0,623.0,900.5,10.0,341870.0,between 3 and 5 years,9.0,0,0,good
2891,21659,27/09/2016,12824.91972,0.242011714,20014.9475,18277.713069999998,0.0,0.0,,-34.0,36.0,,between 3 and 5 years,,0,0,good
2892,8224,2/6/17,-13.527668300000002,0.241986956,19935.01666,80.06136359,0.0,0.0,749.0,1089.5,5.0,423167.0,,,0,0,good
2893,12602,1/3/17,19669.60625,0.24186512899999998,2866.999944,28073.675219999997,0.0,0.0,614.0,887.0,8.0,317056.0,between 20 and 25 years,,0,0,good
2894,14013,23/07/2017,13105.9485,0.241841573,11259.30738,8695.986588,2267.578527,880.5714097000001,638.0,923.0,35.0,214819.0,,2.0,0,0,good
2899,2687,15/05/2017,5240.096194,0.24161201899999998,29439.272310000004,20442.56682,0.0,0.0,764.0,1112.0,1.0,476748.0,less than 0.5 year,4.0,0,0,good
2900,4392,13/03/2017,16074.713230000001,0.24154489199999998,3959.4020590000005,20035.458469999998,0.0,0.0,645.0,933.5,6.0,86618.0,between 3 and 5 years,,0,0,good
2901,21040,30/09/2017,10684.71478,0.24153093899999997,2436.936122,12447.71142,0.0,0.0,521.0,747.5,0.0,617108.0,between 3 and 5 years,20.0,0,0,good
2902,8238,13/06/2017,12342.40453,0.24146355100000003,11981.48154,-40.58776723,0.0,0.0,660.0,956.0,9.0,207973.0,less than 0.5 year,0.0,0,0,good
2903,2168,30/04/2017,5783.8520770000005,0.241429736,290.5199966,9723.078431999998,0.0,0.0,654.0,947.0,13.0,75179.0,between 2.5 and 3 years,28.0,0,0,good
2904,11937,13/09/2017,48.27864524,0.241412139,-2055.0936269999997,8114.692781999999,261.6627126,259.684177,711.0,1032.5,6.0,252.0,between 1.5 and 2 years,0.0,0,0,bad
2906,14513,18/12/2016,9.257333307,0.24132477100000002,19934.59255,-44.59906224,0.0,0.0,697.0,1011.5,12.0,56778.0,between 8 and 10 years,,0,0,good
2907,37842,18/03/2017,20647.6518,0.241246508,7572.903962,22265.393340000002,0.0,0.0,658.0,953.0,1.0,125642.0,,,0,0,good
2908,21600,9/10/17,75.60456555,0.241223269,79960.27019,-32.91008749,0.0,0.0,790.0,1151.0,19.0,228390.0,between 30 and 35 years,0.0,0,0,good
2909,16317,9/6/17,13106.50837,0.241147234,6269.224746,13908.5414,972.3833037999999,261.9072764,714.0,1037.0,1.0,172099.0,between 14 and 17 years,8.0,0,0,good
2911,7034,6/7/17,845.504507,0.24096450600000002,14121.53387,5996.128845,0.0,0.0,731.0,1062.5,5.0,9960.0,between 2 and 2.5 years,4.0,0,0,good
2912,1358,25/04/2017,26161.38985,0.24088421699999998,24781.431419999997,25066.76568,0.0,0.0,782.0,1139.0,7.0,337672.0,between 3 and 5 years,0.0,0,0,good
2913,19186,29/10/2016,14624.03575,0.240803978,39937.48272,-64.70543317,0.0,0.0,604.0,872.0,5.0,20204.0,,,0,0,good
2915,14356,22/07/2017,4920.2519170000005,0.24070157600000003,7942.210967,5148.944396,0.0,0.0,626.0,905.0,5.0,326916.0,,13.0,0,0,good
2917,3686,20/03/2017,1393.02215,0.240457316,24297.651719999998,634.4879503999999,0.0,0.0,721.0,1047.5,11.0,78170.0,between 20 and 25 years,,0,0,good
2919,9414,7/11/17,6137.438852,0.240413362,3991.0888170000003,6608.856063,0.0,0.0,656.0,950.0,6.0,670740.0,,22.0,0,0,good
2921,5705,6/5/17,7886.964743,0.24024300399999998,1281.413075,8957.42505,0.0,0.0,555.0,798.5,5.0,45634.0,between 1 and 1.5 years,25.0,0,0,good
2922,22718,16/09/2017,3656.9148729999997,0.24015495399999998,5982.608767000001,-81.48779006,0.0,0.0,611.0,882.5,13.0,46640.0,less than 0.5 year,0.0,0,0,good
2923,15147,26/07/2017,16994.97836,0.23993439100000002,15006.54929,-10.22095893,0.0,0.0,683.0,990.5,1.0,62087.0,between 0.5 and 1 years,0.0,0,0,good
2925,11586,17/01/2017,14978.115,0.23991029600000002,171.20740080000002,19364.39415,0.0,0.0,542.0,779.0,40.0,457541.0,between 5 and 6 years,,0,0,good
2930,21444,9/6/17,26513.292530000002,0.23943334600000002,19918.72124,13.81332017,261.3400552,267.0334531,672.0,974.0,12.0,517063.0,between 25 and 30 years,26.0,0,0,good
2933,4738,22/05/2017,10291.2422,0.239124285,7967.952551,4064.4087520000003,0.0,0.0,718.0,1043.0,7.0,28373.0,between 10 and 12 years,18.0,0,0,good
2934,44684,20/07/2016,7739.535631999999,0.23911183600000002,50.04125106,-66.76545525,4247.226436999999,414.6093242,,-34.0,,,between 17 and 20 years,,0,0,good
2935,41954,18/09/2016,11748.81742,0.23907872100000002,6861.799951999999,2852.444627,0.0,0.0,,-34.0,,,,,0,0,good
2936,577,7/8/17,17854.41881,0.239051798,-50.57633531,18077.80704,0.0,0.0,676.0,980.0,1.0,10038.0,between 1.5 and 2 years,20.0,0,0,good
2939,17098,30/11/2016,491.7292138,0.238766952,4841.101665,31.76830679,0.0,0.0,,-34.0,,,between 20 and 25 years,,0,0,good
2943,7630,21/03/2017,11045.61776,0.23857600899999998,10140.491240000001,4800.892672999999,679.5467083,677.3506744,627.0,906.5,10.0,569750.0,,,0,0,good
2946,14270,8/8/17,17818.74537,0.238270856,3.7193272260000003,19791.24352,0.0,0.0,622.0,899.0,13.0,926359.0,between 5 and 6 years,21.0,0,0,good
2948,46175,9/12/16,4306.007355,0.23777475,4596.460197,311.8576956,181.7508593,173.2760892,624.0,902.0,,,,,0,0,good
2949,9932,7/4/17,273.0864937,0.237710523,24967.12364,50.73071699,0.0,0.0,554.0,797.0,17.0,319901.0,less than 0.5 year,26.0,0,0,good
2953,10548,21/01/2017,8363.349159000001,0.237610116,-34.95784404,12010.47487,0.0,0.0,601.0,867.5,17.0,14946.0,between 0.5 and 1 years,,0,0,good
2955,10350,10/1/17,28541.110080000002,0.23738938,33499.12032,4298.731125,0.0,0.0,655.0,948.5,11.0,204668.0,between 2 and 2.5 years,27.0,0,0,good
2958,9163,7/4/17,13142.64572,0.237294472,16612.32433,3466.1998,0.0,0.0,578.0,833.0,12.0,175104.0,,11.0,0,0,good
2961,2218,14/05/2017,10857.795329999999,0.237188565,33217.56984,1681.6394440000001,0.0,0.0,796.0,1160.0,14.0,0.0,between 10 and 12 years,25.0,0,0,good
2962,39135,19/09/2016,-9.861181858,0.23717233399999998,,24.22636151,643.0565586,644.1263602000001,,-34.0,,,,,0,0,good
2965,19030,27/08/2017,12175.72526,0.23693214199999998,1583.806966,18410.23655,0.0,0.0,547.0,786.5,20.0,88814.0,between 5 and 6 years,29.0,0,0,good
2966,19336,22/08/2017,48078.0307,0.236931117,39959.75154,-15.22584947,0.0,0.0,724.0,1052.0,5.0,88344.0,between 10 and 12 years,0.0,0,0,good
2967,12954,14/01/2017,3.412456442,0.23688443399999998,4955.234042,-70.88229497,0.0,0.0,687.0,996.5,3.0,184712.0,between 3 and 5 years,,0,0,good
2968,6846,6/7/17,53394.92695,0.23685923899999997,9221.52107,40936.00963,0.0,0.0,793.0,1155.5,2.0,320555.0,between 6 and 8 years,24.0,0,0,good
2969,16233,8/2/17,29417.76543,0.236770249,26161.54105,13779.586809999999,0.0,0.0,610.0,881.0,11.0,626806.0,between 5 and 6 years,24.0,0,0,good
2970,8681,18/06/2017,20917.22364,0.23672700600000002,10994.227990000001,15667.67766,0.0,0.0,665.0,963.5,6.0,60877.0,between 0.5 and 1 years,24.0,0,0,good
2971,6225,4/11/17,9.567783443,0.23663543399999998,7026.389365000001,-28.93325789,0.0,0.0,724.0,1052.0,7.0,3801.0,,,0,0,good
2973,12662,14/01/2017,13188.22004,0.23661479,2690.435601,16881.27072,0.0,0.0,661.0,957.5,36.0,52039.0,between 1 and 1.5 years,,0,0,good
2976,18692,11/5/16,4118.0866240000005,0.23626459600000002,607.4906407000001,6588.764676,0.0,0.0,,-34.0,,,between 0.5 and 1 years,,0,0,good
2977,1341,29/04/2017,3494.541914,0.236183275,17661.87378,7385.082391,0.0,0.0,768.0,1118.0,2.0,7759.0,between 3 and 5 years,25.0,0,0,good
2978,3893,28/03/2017,-54.333704000000004,0.23613631100000002,25056.007830000002,-19.09488437,0.0,0.0,649.0,939.5,-1.0,310471.0,between 5 and 6 years,,0,0,good
2979,1528,28/05/2017,15395.610219999999,0.23609539100000002,779.8444491,19000.43121,0.0,0.0,689.0,999.5,3.0,60819.0,between 6 and 8 years,21.0,0,0,good
2983,8496,14/06/2017,-111.97597150000001,0.23599165,15073.3598,43.00016039,0.0,0.0,744.0,1082.0,5.0,19277.0,between 3 and 5 years,,0,0,good
2988,18638,13/09/2017,12.93160139,0.23550294300000002,19954.5463,4563.608596,0.0,0.0,611.0,882.5,4.0,59416.0,,0.0,0,0,good
2989,20130,26/08/2017,5803.761953,0.235458091,9580.754089,428.5169534,0.0,0.0,569.0,819.5,2.0,570482.0,,28.0,0,0,good
2990,23158,9/11/17,11440.87213,0.235302874,8872.75643,6355.584132,665.314756,437.66131050000007,657.0,951.5,12.0,48287.0,between 3 and 5 years,0.0,0,0,good
2991,19407,23/08/2017,4152.085229,0.23496805899999998,6026.694475,50.55858757,0.0,0.0,707.0,1026.5,0.0,249881.0,between 14 and 17 years,0.0,0,0,good
2993,1502,4/11/17,5452.4568770000005,0.234947385,6436.775159000001,3632.088525,0.0,0.0,669.0,969.5,20.0,273566.0,between 0.5 and 1 years,18.0,0,0,good
2994,26422,10/9/17,4105.991327000001,0.234890949,3935.156182,2091.1842739999997,0.0,0.0,677.0,981.5,0.0,228054.0,between 1.5 and 2 years,21.0,0,0,good
2996,6984,21/02/2017,16211.72076,0.234564374,2957.1514429999997,14114.401430000002,228.2257176,230.42786710000001,692.0,1004.0,15.0,74824.0,between 6 and 8 years,,0,0,good
2997,15610,30/07/2017,18749.56701,0.23446242,1221.4344210000002,17334.99093,0.0,0.0,622.0,899.0,35.0,219327.0,between 10 and 12 years,22.0,0,0,good
2998,27945,27/11/2016,5486.072496,0.234345804,8530.80791,3542.4686100000004,0.0,0.0,591.0,852.5,2.0,322052.0,,,0,0,good
2999,25770,30/01/2017,20602.677509999998,0.234270273,3924.4888170000004,11443.11162,0.0,0.0,,-34.0,,,between 8 and 10 years,,0,0,good
3000,17603,25/12/2016,16540.16533,0.23397994,25024.35511,35051.58249,0.0,0.0,,-34.0,,,,,0,0,good
3002,17983,14/08/2017,36793.07163,0.233908208,71954.68321,27983.0268,0.0,0.0,666.0,965.0,34.0,1259201.0,between 1.5 and 2 years,27.0,0,0,good
3006,5023,22/05/2017,5936.271318,0.233489284,32935.4249,2124.22538,0.0,0.0,683.0,990.5,5.0,111742.0,between 0.5 and 1 years,12.0,0,0,good
3008,19901,26/08/2017,13680.65704,0.23329783899999998,13992.9212,5932.822338,0.0,0.0,718.0,1043.0,4.0,51741.0,less than 0.5 year,25.0,0,0,good
3010,16309,30/11/2016,12781.12104,0.23316434,20086.10541,11978.67422,0.0,0.0,754.0,1097.0,,,between 8 and 10 years,,0,0,good
3011,6287,30/05/2017,10630.08439,0.23315933600000002,2647.72837,17335.35078,0.0,0.0,636.0,920.0,17.0,12201.0,between 3 and 5 years,17.0,0,0,good
3013,11956,15/08/2017,5323.601436999999,0.23310134100000002,19235.859669999998,870.9613349,0.0,0.0,702.0,1019.0,7.0,265129.0,between 3 and 5 years,24.0,0,0,good
3014,39253,16/08/2016,11924.2255,0.23293189600000003,6434.178382,3492.109335,1418.14804,245.4075667,603.0,870.5,10.0,298926.0,less than 0.5 year,,0,0,bad
3015,7475,6/12/17,8117.030836,0.23293166899999998,2790.053947,7396.013174,0.0,0.0,621.0,897.5,24.0,205547.0,between 1.5 and 2 years,27.0,0,0,good
3016,11817,7/10/17,16948.99034,0.23288799300000002,111.9220169,18531.22942,0.0,0.0,686.0,995.0,4.0,89056.0,between 3 and 5 years,20.0,0,0,good
3018,3336,25/03/2017,12769.4261,0.232797555,17031.516180000002,3395.6408939999997,0.0,0.0,663.0,960.5,9.0,20887.0,between 25 and 30 years,,0,0,good
3019,477,15/04/2017,9158.387337999999,0.232790785,10312.5518,9613.505642,0.0,0.0,663.0,960.5,5.0,361605.0,between 12 and 14 years,28.0,0,0,good
3020,12971,8/12/17,5873.101854,0.232743865,4344.361244,5586.142304999999,0.0,0.0,606.0,875.0,0.0,199167.0,between 1 and 1.5 years,9.0,0,0,good
3024,19148,25/10/2017,2738.853298,0.23257461399999999,6634.571003,1259.97263,0.0,0.0,614.0,887.0,28.0,28053.0,between 5 and 6 years,14.0,0,0,good
3025,27613,10/10/17,12598.5572,0.23254217800000002,9913.887007,9473.477625,0.0,0.0,686.0,995.0,0.0,35271.0,between 3 and 5 years,16.0,0,0,good
3027,13556,22/08/2017,1396.675532,0.23246920100000001,375.7708807,9830.963706999999,118.306648,63.73851056,671.0,972.5,18.0,242016.0,between 3 and 5 years,0.0,0,0,good
3033,5728,18/03/2017,3926.984878,0.23197102100000003,8747.469616,1049.5926220000001,0.0,0.0,680.0,986.0,10.0,480949.0,between 3 and 5 years,,0,0,good
3037,6832,6/10/17,9998.143348,0.23184782199999998,9840.170016,5087.3151179999995,0.0,0.0,,-34.0,,,between 2 and 2.5 years,18.0,0,0,good
3038,20423,15/05/2017,286.08909460000007,0.23181673100000003,3432.547166,2516.810732,0.0,0.0,730.0,1061.0,0.0,0.0,between 6 and 8 years,22.0,0,0,good
3039,24651,23/09/2017,5569.76328,0.231784911,10082.58186,-131.8370065,0.0,0.0,779.0,1134.5,0.0,525563.0,between 3 and 5 years,20.0,0,0,good
3040,21004,9/11/17,3676.563697,0.23171724600000002,3087.52981,2955.9904530000003,0.0,0.0,689.0,999.5,12.0,353684.0,between 20 and 25 years,20.0,0,0,good
3041,17715,28/08/2017,28172.405010000002,0.231710852,27558.1665,20279.75911,0.0,0.0,678.0,983.0,31.0,172052.0,between 3 and 5 years,27.0,0,0,good
3042,20790,10/8/16,16738.2336,0.23169255100000002,1500.784586,16483.95228,0.0,0.0,,-34.0,,,between 1 and 1.5 years,,0,0,good
3045,22102,24/09/2016,23580.30749,0.23154337600000002,5542.400202000001,38956.40627,0.0,0.0,,-34.0,,,between 2 and 2.5 years,,0,0,good
3048,4291,20/05/2017,18896.61452,0.23120753100000002,8558.730339,26569.266359999998,0.0,0.0,645.0,933.5,26.0,447216.0,between 2 and 2.5 years,19.0,0,0,good
3049,20983,6/4/17,17540.81585,0.231172228,7676.117416,27945.29723,0.0,0.0,673.0,975.5,3.0,1867.0,between 3 and 5 years,7.0,0,0,good
3051,22958,21/11/2016,23710.40961,0.231044285,38116.54494,23035.672730000002,0.0,0.0,622.0,899.0,55.0,96384.0,between 1.5 and 2 years,,0,0,good
3053,18980,11/6/16,16801.15372,0.23099249600000002,1429.1870119999999,13528.93324,0.0,0.0,670.0,971.0,8.0,293672.0,between 20 and 25 years,,0,0,good
3054,24125,10/2/16,9411.807037,0.230952336,15472.594130000001,35066.89652,0.0,0.0,,-34.0,,,between 6 and 8 years,,0,0,good
3055,2998,6/4/17,18865.10242,0.230876577,13580.8645,20597.14341,0.0,0.0,691.0,1002.5,3.0,86801.0,between 1 and 1.5 years,25.0,0,0,good
3056,12446,26/07/2017,270.82903710000005,0.23063722600000003,5915.388197,157.76572480000002,0.0,0.0,757.0,1101.5,0.0,175316.0,,23.0,0,0,good
3057,19944,13/09/2017,13696.980759999999,0.230508892,1453.249126,18503.3876,444.1094113,445.316474,642.0,929.0,19.0,229551.0,less than 0.5 year,17.0,0,0,good
3058,24890,28/03/2017,26128.84391,0.230344749,19079.278309999998,33664.111919999996,0.0,0.0,752.0,1094.0,8.0,439720.0,between 14 and 17 years,,0,0,good
3061,3440,27/03/2017,6754.917520999999,0.230257829,5733.316718,4197.886993,0.0,0.0,686.0,995.0,5.0,24066.0,,,0,0,good
3062,6939,13/06/2017,10256.377840000001,0.23021416100000003,6436.04107,13426.20165,0.0,0.0,666.0,965.0,2.0,135747.0,between 12 and 14 years,17.0,0,0,good
3064,32513,22/04/2017,25930.37847,0.230131631,15382.558030000002,44740.30375,0.0,0.0,624.0,902.0,12.0,725595.0,between 14 and 17 years,11.0,0,0,good
3065,23974,16/09/2017,10886.663929999999,0.230091865,4738.874593,14793.811740000001,416.8433932,419.47579349999995,609.0,879.5,0.0,432211.0,,6.0,0,0,good
3066,27041,22/10/2017,5687.497972,0.23001796600000002,17397.99956,2097.209535,0.0,0.0,678.0,983.0,10.0,111795.0,less than 0.5 year,18.0,0,0,good
3067,2261,5/2/17,38525.41224,0.229910432,16587.8191,36387.80053,0.0,0.0,654.0,947.0,2.0,482408.0,between 20 and 25 years,22.0,0,0,good
3070,24775,27/09/2017,38387.78989,0.22959918899999998,3588.0123479999997,69109.54085,0.0,0.0,595.0,858.5,3.0,633258.0,between 8 and 10 years,26.0,0,0,good
3071,1204,4/9/17,8990.947565,0.229591462,3358.8103159999996,5325.975574,307.8254525,181.4781035,625.0,903.5,22.0,538661.0,between 0.5 and 1 years,7.0,0,0,good
3072,16876,13/09/2017,2794.7405710000003,0.22944898,9544.722023,551.8742382999999,0.0,0.0,692.0,1004.0,6.0,390795.0,between 8 and 10 years,24.0,0,0,good
3074,9786,7/2/17,10755.13379,0.22929388899999997,8045.3698890000005,11860.60139,0.0,0.0,645.0,933.5,22.0,78542.0,less than 0.5 year,20.0,0,0,good
3075,23219,18/09/2017,6190.360315,0.22913811899999997,-34.04645396,10046.641940000001,0.0,0.0,675.0,978.5,1.0,290132.0,between 1 and 1.5 years,25.0,0,0,good
3077,14569,25/07/2017,15931.63398,0.22906912399999999,5036.099451,14998.609919999999,0.0,0.0,615.0,888.5,0.0,468165.0,between 3 and 5 years,22.0,0,0,good
3080,19503,26/10/2016,6096.800843,0.22900918899999997,8025.246897,-53.23535059,0.0,0.0,662.0,959.0,10.0,166241.0,between 12 and 14 years,,0,0,good
3082,23546,14/08/2017,46297.6676,0.228693345,36411.96507,63033.69502000001,0.0,0.0,695.0,1008.5,0.0,299810.0,between 3 and 5 years,0.0,0,0,good
3083,19562,9/4/17,7467.576023999999,0.228616297,13783.897180000002,1260.5568560000002,0.0,0.0,649.0,939.5,1.0,15919.0,between 8 and 10 years,23.0,0,0,good
3085,9435,28/01/2017,20231.049030000002,0.228597739,415.4584603,18028.985480000003,0.0,0.0,516.0,740.0,49.0,720857.0,between 8 and 10 years,,0,0,good
3086,23242,9/11/17,51024.44998,0.228474187,53239.52687,46679.09831,0.0,0.0,691.0,1002.5,8.0,60891.0,between 10 and 12 years,23.0,0,0,good
3087,16351,29/11/2016,4909.278391,0.228323804,2559.685655,9499.09878,0.0,0.0,627.0,906.5,19.0,67673.0,between 3 and 5 years,,0,1,good
3089,20399,17/10/2016,11444.713259999999,0.228139864,4706.310498,5654.167146,0.0,0.0,,-34.0,,,between 3 and 5 years,,0,0,good
3090,23280,16/09/2017,22545.901830000003,0.228114779,70072.43037,54.96489348,0.0,0.0,777.0,1131.5,6.0,712429.0,between 1 and 1.5 years,0.0,0,0,good
3092,2366,4/9/17,2211.511282,0.22801415100000003,4754.850193,1022.0911710000001,0.0,0.0,688.0,998.0,12.0,7174.0,between 1.5 and 2 years,29.0,0,0,good
3093,26057,10/1/17,20857.49759,0.227977205,15779.38413,24196.22515,0.0,0.0,676.0,980.0,0.0,249751.0,between 2 and 2.5 years,28.0,0,0,good
3094,35992,9/7/16,522.0516637000001,0.22797624600000002,,,0.0,0.0,,-34.0,,,between 6 and 8 years,,0,0,good
3097,35929,31/10/2016,11416.620420000001,0.227855085,18263.73537,1759.751857,0.0,0.0,,-34.0,,,between 3 and 5 years,,0,0,good
3098,17173,23/11/2016,19936.61708,0.22784689100000002,20077.69299,2.17529398,0.0,0.0,778.0,1133.0,6.0,35792.0,,,0,0,good
3100,16470,28/11/2016,15239.19368,0.22738501600000002,6360.776561,10650.126709999999,0.0,0.0,,-34.0,,,between 25 and 30 years,,0,0,good
3101,3583,13/05/2017,7399.485968000001,0.22735954600000002,3985.1793810000004,7807.4390140000005,0.0,0.0,655.0,948.5,2.0,392388.0,between 3 and 5 years,26.0,0,0,good
3105,4243,4/9/17,8544.024411,0.226937871,-3647.1457130000003,9292.542928,227.89307830000004,90.97474533,676.0,980.0,13.0,61304.0,between 2 and 2.5 years,0.0,0,0,good
3107,8678,28/02/2017,35168.55251,0.226813402,28497.78558,22603.29507,0.0,0.0,717.0,1041.5,3.0,49848.0,between 14 and 17 years,,0,0,good
3108,8461,2/11/17,4481.085051,0.226729405,2170.378181,4347.295038,0.0,0.0,637.0,921.5,17.0,24831.0,,,0,0,good
3110,228,23/04/2017,8770.533893,0.226144386,16013.6079,13865.454,0.0,0.0,654.0,947.0,12.0,50467.0,between 5 and 6 years,11.0,0,0,good
3113,5426,3/8/17,406.1428204,0.22603460600000003,20005.23042,59.86822534,0.0,0.0,787.0,1146.5,11.0,492019.0,between 1 and 1.5 years,,0,0,good
3114,25213,10/5/16,-61.64647287,0.226009236,24969.03856,15.28614075,0.0,0.0,672.0,974.0,0.0,131816.0,,,0,0,good
3116,23157,9/7/16,5875.200048,0.22600337899999998,9188.174404000001,5910.617162,0.0,0.0,,-34.0,,,between 30 and 35 years,,0,0,good
3117,10881,22/07/2017,-18.2709667,0.22597834100000003,49941.183039999996,27.15253945,0.0,0.0,664.0,962.0,8.0,474768.0,between 20 and 25 years,0.0,0,0,good
3119,1622,29/04/2017,4074.555636,0.22592462600000002,9692.993684000001,336.1829966,0.0,0.0,619.0,894.5,8.0,144465.0,between 6 and 8 years,23.0,0,0,good
3120,32780,9/2/17,27290.24796,0.225906422,50219.19362,15102.645,0.0,0.0,676.0,980.0,11.0,360375.0,between 8 and 10 years,26.0,0,0,good
3126,20401,27/08/2017,10827.54318,0.225237722,4194.436451,15790.332059999999,0.0,0.0,660.0,956.0,2.0,299687.0,between 1 and 1.5 years,26.0,0,0,good
3127,21423,10/3/16,-3.976217142,0.22516487699999999,14973.47252,-35.42655259,0.0,0.0,662.0,959.0,4.0,233294.0,between 2 and 2.5 years,,0,0,good
3129,2755,4/3/17,16195.249619999999,0.22512025600000002,9008.705723000001,10950.5124,0.0,0.0,668.0,968.0,16.0,45547.0,between 8 and 10 years,,0,0,good
3131,20724,24/10/2016,4860.166127,0.224833726,7823.768808,2256.08982,1307.022056,448.96017889999996,,-34.0,,,between 14 and 17 years,,0,0,good
3132,27404,18/10/2017,7818.42218,0.22480636199999998,11004.30455,4096.848122,0.0,0.0,683.0,990.5,14.0,341565.0,between 3 and 5 years,23.0,0,0,good
3133,34120,16/01/2017,10827.6527,0.22477021100000003,9193.434932,5839.062816,0.0,0.0,641.0,927.5,1.0,5767.0,between 3 and 5 years,,0,0,good
3135,10177,27/06/2017,13044.59018,0.22464374899999998,-112.35372040000001,19976.171730000002,0.0,0.0,671.0,972.5,1.0,503064.0,between 25 and 30 years,0.0,0,0,good
3136,18296,15/08/2017,26666.9212,0.224610907,2485.6178010000003,36952.93249,0.0,0.0,658.0,953.0,4.0,609592.0,between 30 and 35 years,24.0,0,0,good
3137,27401,25/10/2017,4789.567805,0.224581762,14042.45824,5610.774848,0.0,0.0,599.0,864.5,11.0,69087.0,between 6 and 8 years,21.0,0,0,good
3140,13289,26/12/2016,3966.466575,0.224164885,8036.805563,2999.1374690000002,0.0,0.0,712.0,1034.0,,,between 30 and 35 years,,0,0,good
3141,4637,6/3/17,55.97472284,0.22412992199999998,34927.73708,-35.06524946,0.0,0.0,668.0,968.0,3.0,116728.0,between 1.5 and 2 years,0.0,0,0,good
3142,25353,21/10/2017,7750.564786,0.22408439300000002,11590.19417,2886.438853,596.9628117999999,597.9718378,675.0,978.5,7.0,36167.0,between 1 and 1.5 years,6.0,0,0,good
3147,19297,31/10/2016,14076.63433,0.223633914,786.8580602999999,17774.65793,0.0,0.0,,-34.0,,,between 2.5 and 3 years,,0,0,good
3151,16739,8/6/17,21273.22944,0.223524014,27303.5479,22739.917080000003,7143.508528,1096.47065,628.0,908.0,6.0,110351.0,between 5 and 6 years,0.0,0,0,good
3153,27184,14/10/2017,54578.32565,0.223467253,75352.37848,-1017.765369,0.0,0.0,719.0,1044.5,2.0,1147608.0,between 1.5 and 2 years,0.0,0,0,good
3154,5300,3/8/17,11031.00821,0.223447427,3756.157314,11622.39325,0.0,0.0,666.0,965.0,8.0,270138.0,between 6 and 8 years,,0,0,good
3156,14820,30/07/2017,18.235882800000002,0.223368507,10004.90836,-4.894144697,0.0,0.0,761.0,1107.5,5.0,735588.0,between 8 and 10 years,,0,0,good
3157,14155,25/07/2017,7549.440804999999,0.223319381,8396.822422,3692.071087,0.0,0.0,659.0,954.5,15.0,86226.0,between 20 and 25 years,29.0,0,0,good
3161,2238,29/03/2017,5718.482302,0.222962456,1797.441164,17876.53383,5850.539269,707.8998527000001,691.0,1002.5,27.0,50712.0,less than 0.5 year,,0,0,bad
3162,25264,4/5/17,5133.711145,0.22290432899999998,8091.282756999999,438.4415915,0.0,0.0,,-34.0,,,between 14 and 17 years,26.0,0,0,good
3163,25849,30/09/2017,26543.65039,0.22279619899999997,2275.0623579999997,32592.20731,655.1874977000001,633.042095,744.0,1082.0,11.0,27073.0,between 8 and 10 years,1.0,0,0,good
3164,20809,9/3/17,6800.172306,0.22277758600000003,8626.339645,1316.494729,0.0,0.0,599.0,864.5,3.0,53360.0,between 3 and 5 years,7.0,0,0,good
3165,4376,29/05/2017,46583.44356,0.222694306,45289.36822,4766.738393,0.0,0.0,679.0,984.5,8.0,1137394.0,between 12 and 14 years,23.0,0,0,good
3169,17390,21/08/2017,5678.141703,0.222310514,19650.4817,374.6163268,0.0,0.0,665.0,963.5,0.0,202452.0,,24.0,0,0,good
