,client_id,pit,recent_successful_repayments,future_bad_probability,available_credit,balance,sum_failed_repayments ,max_failed_repayments,credit_score,external score,credit_inquiries_count,credit_open_balance,years_on_file,max_successful_repayments,missing_report,client_industry_unknown,tag_in_six_months
446,13368,14/01/2017,2.462644146,0.589852746,2619.134286,7470.316709999999,1320.752856,231.4906696,660.0,956.0,9.0,83608.0,,,0,0,bad
447,20094,19/11/2016,6354.300598,0.5897975999999999,9421.42723,10443.80739,8031.220584999999,945.9528591,605.0,873.5,27.0,387666.0,between 6 and 8 years,,0,0,bad
451,7000,14/06/2017,108806.1771,0.5886547679999999,80023.5016,15.35972212,0.0,0.0,739.0,1074.5,7.0,62986.0,less than 0.5 year,0.0,0,0,bad
452,7664,19/02/2017,26355.46119,0.588348612,10022.608240000001,40084.1787,2226.233874,888.0237710000001,663.0,960.5,27.0,84401.0,,,0,0,bad
454,9960,27/06/2017,3267.440573,0.588069241,3906.7871590000004,2183.829308,330.7782351,263.7376855,629.0,909.5,7.0,12507.0,between 1.5 and 2 years,0.0,0,0,bad
455,7503,6/12/17,6145.000353,0.587649901,3582.2008229999997,6431.349207,4998.127543,564.2494242,680.0,986.0,113.0,567024.0,between 6 and 8 years,13.0,0,0,bad
456,17889,15/11/2016,11389.27813,0.587239876,-302.55264980000004,30259.48202,1322.2687119999998,571.7777899,626.0,905.0,11.0,219004.0,between 25 and 30 years,,0,0,bad
457,6279,21/02/2017,5985.449928,0.5871480960000001,9985.847514000001,8801.26829,243.806186,159.855901,623.0,900.5,30.0,97099.0,,,0,0,bad
458,2483,4/1/17,8871.605962,0.5866700539999999,5063.985356,9923.306604000001,855.6481326999999,132.8839074,645.0,933.5,12.0,189974.0,between 2.5 and 3 years,7.0,0,0,bad
460,42889,14/08/2016,4280.9428880000005,0.5858954820000001,-3691.9555490000002,18654.90763,3043.906178,707.1559802999999,657.0,951.5,34.0,6008.0,between 12 and 14 years,,0,0,bad
461,2846,23/04/2017,19492.65336,0.5857734529999999,12211.32884,27905.2299,1003.8672039999999,372.5667157,660.0,956.0,22.0,130900.0,between 10 and 12 years,2.0,0,0,bad
462,21269,10/2/16,51098.44361,0.585680539,7053.351658,32825.675,0.0,0.0,606.0,875.0,,,between 12 and 14 years,,0,0,bad
464,6105,31/05/2017,4166.295770000001,0.585364166,1152.823617,19133.31427,4476.1696520000005,649.6362726,653.0,945.5,20.0,1165980.0,between 2 and 2.5 years,0.0,0,0,bad
465,12656,1/1/17,21489.37178,0.585332249,4978.712679,-34.70396322,0.0,0.0,609.0,879.5,25.0,431371.0,less than 0.5 year,,0,0,bad
466,11920,24/07/2017,5986.956998,0.585033558,1536.380857,8554.896281,0.0,0.0,753.0,1095.5,5.0,150532.0,,23.0,0,0,good
471,13396,18/07/2017,17488.5209,0.584007907,-39.34966939,19481.30523,0.0,0.0,469.0,669.5,11.0,193272.0,between 2 and 2.5 years,22.0,0,0,bad
472,10202,21/01/2017,2312.9866859999997,0.583395775,-690.8693215,8774.436733,512.0037298999999,133.7315986,624.0,902.0,11.0,325568.0,between 0.5 and 1 years,,0,1,bad
477,23220,10/1/16,8394.701324,0.582120154,2297.629003,18045.38787,0.0,0.0,,-34.0,,,between 2 and 2.5 years,,0,0,bad
483,11231,18/01/2017,936.8446648,0.5803107270000001,-556.0414936000001,5340.508166,328.6910088,226.96134680000003,642.0,929.0,18.0,437238.0,,,0,0,bad
485,19618,23/08/2017,13151.83712,0.5795979760000001,11452.547359999999,8581.557865,13715.453590000001,4579.470621,655.0,948.5,22.0,64134.0,between 2.5 and 3 years,0.0,0,0,bad
486,17207,21/11/2016,3387.128079,0.579339244,-1355.507277,11483.66225,4430.3994,485.24111100000005,671.0,972.5,28.0,42013.0,between 2.5 and 3 years,,0,1,bad
487,2194,24/04/2017,8108.871340000001,0.579172401,15715.9433,5180.8626810000005,882.5453418,880.4825558,675.0,978.5,45.0,167147.0,between 14 and 17 years,2.0,0,0,bad
493,28075,26/10/2016,5421.616809,0.576111267,4288.164314,5740.224866,1898.056996,222.6557395,,-34.0,,,between 1.5 and 2 years,,0,0,bad
494,481,14/05/2017,26.28005825,0.575992972,2086.942391,17999.14002,924.6883213,632.6606429,608.0,878.0,67.0,445509.0,between 12 and 14 years,,0,0,bad
496,31574,5/2/17,12261.63213,0.575758409,20312.59315,3488.609735,0.0,0.0,651.0,942.5,,716115.0,between 10 and 12 years,28.0,0,0,bad
499,41682,8/8/16,15058.527580000002,0.574759892,4856.866558,10339.13257,,,709.0,1029.5,1.0,115729.0,,,0,0,bad
501,7916,20/02/2017,6724.177202,0.574117099,1402.174657,5606.101796,0.0,0.0,591.0,852.5,20.0,341740.0,,,0,0,bad
502,11442,7/8/17,1574.8836039999999,0.574065224,376.2787065,29927.80447,1515.849572,259.3451523,609.0,879.5,7.0,142218.0,between 1 and 1.5 years,3.0,0,0,bad
504,8659,17/06/2017,1.5728924290000001,0.573690054,39971.81392,-136.2050314,3655.4439700000003,1993.360315,623.0,900.5,0.0,619284.0,between 2.5 and 3 years,,0,0,bad
506,17317,8/9/17,-29.80540445,0.573110908,1537.8245470000002,6660.535062,212.18907599999997,208.645306,690.0,1001.0,0.0,199796.0,between 2 and 2.5 years,,0,0,bad
507,10709,7/4/17,-134.2983802,0.572976074,-8222.784962,33700.96793,3722.1751189999995,1374.8683230000001,717.0,1041.5,2.0,976515.0,more than 35 years,0.0,0,0,bad
509,5352,3/6/17,4.776660185,0.572648716,-4229.514209,24215.64948,3573.037841,886.2178707999999,616.0,890.0,3.0,162568.0,between 2.5 and 3 years,,0,0,bad
